filename,full_path,file_type,project_area,apparent_purpose,modified_date,version_information,referenced_by,live_website_use,relationship_to_other_versions,status,classification_note,source_root,size_bytes,sha256
ballerina-header.png,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/AwakenArts_Workbook/Book_01_Mermaid/05_Ballerina/Images/04_Atmosphere/ballerina-header.png,png,Visual assets,Visual/production asset: ballerina header,2026-06-22T18:13:03-05:00,not explicit,not determined,NO / NOT APPLICABLE,byte-identical group of 3; primary: /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/05_Ballerina/Images/04_Atmosphere/ballerina-header.png,DUPLICATE / REDUNDANT,Byte-identical to /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/05_Ballerina/Images/04_Atmosphere/ballerina-header.png,CLAUDE_WORKING_FILES,2851970,066e85387d0dfacdfd1d72925b4caf721333b3d21858eb866effa4a97b3ce6b0
child-ballerina-2.png,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/AwakenArts_Workbook/Book_01_Mermaid/05_Ballerina/Images/04_Atmosphere/child-ballerina-2.png,png,Visual assets,Visual/production asset: child ballerina 2,2026-06-22T18:13:03-05:00,version-like filename,not determined,NO / NOT APPLICABLE,pending hash/name comparison,DUPLICATE / REDUNDANT,Secondary working copy; compare against live repository before use,CLAUDE_WORKING_FILES,1325842,49da7d3e0f56f0ac6ea06f262b3bb3fa80573dae5c325a32b977081317d60c9d
aalogo-final.svg,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/AwakenArts_Workbook/Brand/aalogo-final.svg,svg,Visual assets,Visual/production asset: aalogo final,2026-06-13T09:34:05-05:00,not explicit,repository text/code search,NO / NOT APPLICABLE,byte-identical group of 4; primary: /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/Brand/aalogo-final.svg,DUPLICATE / REDUNDANT,Byte-identical to /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/Brand/aalogo-final.svg,CLAUDE_WORKING_FILES,1304,efa3d2a5529cfee6106834727838476abb3030883fc38051a97193a42a843924
logo-gold.svg,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/AwakenArts_Workbook/Brand/logo-gold.svg,svg,Visual assets,Visual/production asset: logo gold,2026-06-13T09:22:41-05:00,not explicit,not determined,NO / NOT APPLICABLE,byte-identical group of 3; primary: /Users/sashe/Projects/AwakenArts/awakenarts-site/public/archive/deprecated/brand/logo-gold.svg,DUPLICATE / REDUNDANT,Byte-identical to /Users/sashe/Projects/AwakenArts/awakenarts-site/public/archive/deprecated/brand/logo-gold.svg,CLAUDE_WORKING_FILES,1121,5ff41ba71a27e263aff380d049f374b1ad1aa73d8a22dd21e97c155b5c508be1
logo-mixed.svg,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/AwakenArts_Workbook/Brand/logo-mixed.svg,svg,Visual assets,Visual/production asset: logo mixed,2026-06-13T09:22:41-05:00,not explicit,repository text/code search,NO / NOT APPLICABLE,byte-identical group of 4; primary: /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/Brand/logo-mixed.svg,DUPLICATE / REDUNDANT,Byte-identical to /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/Brand/logo-mixed.svg,CLAUDE_WORKING_FILES,1202,80e451c0127ff7c933e02591ca80de6bf1c44b347b4f9dcfb575315b0bedcc5e
logo-navy.svg,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/AwakenArts_Workbook/Brand/logo-navy.svg,svg,Visual assets,Visual/production asset: logo navy,2026-06-13T09:22:41-05:00,not explicit,repository text/code search,NO / NOT APPLICABLE,byte-identical group of 3; primary: /Users/sashe/Projects/AwakenArts/awakenarts-site/public/archive/deprecated/brand/logo-navy.svg,DUPLICATE / REDUNDANT,Byte-identical to /Users/sashe/Projects/AwakenArts/awakenarts-site/public/archive/deprecated/brand/logo-navy.svg,CLAUDE_WORKING_FILES,1109,03e0637e10d7d0af0a19190951c5e6d85d0ed2e0c1041e61f3d853137d3f4289
logo-reversed.svg,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/AwakenArts_Workbook/Brand/logo-reversed.svg,svg,Visual assets,Visual/production asset: logo reversed,2026-06-13T09:34:05-05:00,not explicit,not determined,NO / NOT APPLICABLE,byte-identical group of 4; primary: /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/Brand/logo-reversed.svg,DUPLICATE / REDUNDANT,Byte-identical to /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/Brand/logo-reversed.svg,CLAUDE_WORKING_FILES,1049,87350132cdf04152b14a0d081e388eb388810e710bde2c5cf5352d1ed1f06b77
Collection_Cover_Dark_Final.png,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/AwakenArts_Workbook/Covers/Collection_Cover_Dark_Final.png,png,Visual assets,Visual/production asset: Collection Cover Dark Final,2026-06-13T09:22:42-05:00,not explicit,not determined,NO / NOT APPLICABLE,byte-identical group of 5; primary: /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/Covers/Collection_Cover_Dark_Final.png,DUPLICATE / REDUNDANT,Byte-identical to /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/Covers/Collection_Cover_Dark_Final.png,CLAUDE_WORKING_FILES,8258044,a547768b92eaad9c92aed5e03b1c048578ba3effed062c70d594c7f6a8190d78
Collection_Cover_Light_Final.png,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/AwakenArts_Workbook/Covers/Collection_Cover_Light_Final.png,png,Visual assets,Visual/production asset: Collection Cover Light Final,2026-06-13T09:22:42-05:00,not explicit,not determined,NO / NOT APPLICABLE,byte-identical group of 4; primary: /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/Covers/Collection_Cover_Light_Final.png,DUPLICATE / REDUNDANT,Byte-identical to /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/Covers/Collection_Cover_Light_Final.png,CLAUDE_WORKING_FILES,8233308,5c6dafbfe590f3dcb8bc2fce7b7bec3de16ab98c28528ed20c57ed041b388d23
when-language-shapes-a-path-cover-art-v1.png,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/AwakenArts_Workbook/Covers/When_Language_Shapes_a_Path/when-language-shapes-a-path-cover-art-v1.png,png,Visual assets,Visual/production asset: when language shapes a path cover art v1,2026-07-20T15:39:51-05:00,version-like filename,not determined,NO / NOT APPLICABLE,pending hash/name comparison,DUPLICATE / REDUNDANT,Secondary working copy; compare against live repository before use,CLAUDE_WORKING_FILES,2580644,12d75ee3b70afaede48359aedefebce79c849b34b2c6a20a81337125012dc6ee
when-language-shapes-a-path-front-cover-v1-7x10-300dpi.png,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/AwakenArts_Workbook/Covers/When_Language_Shapes_a_Path/when-language-shapes-a-path-front-cover-v1-7x10-300dpi.png,png,Visual assets,Visual/production asset: when language shapes a path front cover v1 7x10 300dpi,2026-07-20T15:39:53-05:00,version-like filename,not determined,NO / NOT APPLICABLE,pending hash/name comparison,DUPLICATE / REDUNDANT,Secondary working copy; compare against live repository before use,CLAUDE_WORKING_FILES,12726732,cdaf056951a99db18f78103d0aa571fbba888ee672c2578e73acac6b694fd9c9
when-language-shapes-a-path-front-cover-v1-proof.png,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/AwakenArts_Workbook/Covers/When_Language_Shapes_a_Path/when-language-shapes-a-path-front-cover-v1-proof.png,png,Visual assets,Visual/production asset: when language shapes a path front cover v1 proof,2026-07-20T15:39:54-05:00,version-like filename,not determined,NO / NOT APPLICABLE,pending hash/name comparison,DUPLICATE / REDUNDANT,Secondary working copy; compare against live repository before use,CLAUDE_WORKING_FILES,2192336,b0b0abc340dc6ebe0781f2099c0ee59c9d02b83c864222e350a88737a403b059
Bear_Poem_Master.png,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/AwakenArts_Workbook/Workbook_02_The_Bear/Images/01_Master_Poem/Bear_Poem_Master.png,png,Visual assets,Visual/production asset: Bear Poem Master,2026-06-16T10:23:46-05:00,not explicit,repository text/code search,NO / NOT APPLICABLE,byte-identical group of 6; primary: /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/07_Bear/images/Bear_Poem_Master.png,DUPLICATE / REDUNDANT,Byte-identical to /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/07_Bear/images/Bear_Poem_Master.png,CLAUDE_WORKING_FILES,223591,8e6630a71aa6be73a731b3240aacd7f737f7e55f7f09b3621a76abdf76cfc3da
Bear_Illustrated_Still.jpg,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/AwakenArts_Workbook/Workbook_02_The_Bear/Images/04_Atmosphere/Bear_Illustrated_Still.jpg,jpg,Visual assets,Visual/production asset: Bear Illustrated Still,2026-06-16T10:23:46-05:00,not explicit,repository text/code search,NO / NOT APPLICABLE,byte-identical group of 6; primary: /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/07_Bear/images/Bear_Illustrated_Still.jpg,DUPLICATE / REDUNDANT,Byte-identical to /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/07_Bear/images/Bear_Illustrated_Still.jpg,CLAUDE_WORKING_FILES,23923,76123f132ffa2f4bd3ed5f82571e11c20064365bfb01baaf189f8c465ff1eb2e
Collection_Cover_Dark_Final.png,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/Collection_Cover_Dark_Final.png,png,Visual assets,Visual/production asset: Collection Cover Dark Final,2026-06-12T13:30:35-05:00,not explicit,not determined,NO / NOT APPLICABLE,byte-identical group of 5; primary: /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/Covers/Collection_Cover_Dark_Final.png,DUPLICATE / REDUNDANT,Byte-identical to /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/Covers/Collection_Cover_Dark_Final.png,CLAUDE_WORKING_FILES,8258044,a547768b92eaad9c92aed5e03b1c048578ba3effed062c70d594c7f6a8190d78
Collection_Cover_Dark_v3.png,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/Collection_Cover_Dark_v3.png,png,Visual assets,Visual/production asset: Collection Cover Dark v3,2026-06-12T12:46:15-05:00,version-like filename,not determined,NO / NOT APPLICABLE,byte-identical group of 5; primary: /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/Covers/Collection_Cover_Dark_Final.png,DUPLICATE / REDUNDANT,Byte-identical to /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/Covers/Collection_Cover_Dark_Final.png,CLAUDE_WORKING_FILES,8258044,a547768b92eaad9c92aed5e03b1c048578ba3effed062c70d594c7f6a8190d78
Collection_Cover_Light_Final.png,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/Collection_Cover_Light_Final.png,png,Visual assets,Visual/production asset: Collection Cover Light Final,2026-06-12T13:30:37-05:00,not explicit,not determined,NO / NOT APPLICABLE,byte-identical group of 4; primary: /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/Covers/Collection_Cover_Light_Final.png,DUPLICATE / REDUNDANT,Byte-identical to /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/Covers/Collection_Cover_Light_Final.png,CLAUDE_WORKING_FILES,8233308,5c6dafbfe590f3dcb8bc2fce7b7bec3de16ab98c28528ed20c57ed041b388d23
Collection_Cover_Light_v3.png,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/Collection_Cover_Light_v3.png,png,Visual assets,Visual/production asset: Collection Cover Light v3,2026-06-12T12:46:14-05:00,version-like filename,not determined,NO / NOT APPLICABLE,pending hash/name comparison,DUPLICATE / REDUNDANT,Secondary working copy; compare against live repository before use,CLAUDE_WORKING_FILES,6959133,980f8ba0bfce5394da798bf60957bb49496eeb4cd083118844e195e9967ba173
Collection_Cover_v1.png,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/Collection_Cover_v1.png,png,Visual assets,Visual/production asset: Collection Cover v1,2026-06-12T12:31:38-05:00,version-like filename,not determined,NO / NOT APPLICABLE,pending hash/name comparison,DUPLICATE / REDUNDANT,Secondary working copy; compare against live repository before use,CLAUDE_WORKING_FILES,8836127,4dafef442c2ecd6cebccd1d2dfcf32d215791a774d383e014a5ee1bae7fe65bc
Collection_Cover_v2a.png,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/Collection_Cover_v2a.png,png,Visual assets,Visual/production asset: Collection Cover v2a,2026-06-12T12:39:27-05:00,version-like filename,not determined,NO / NOT APPLICABLE,pending hash/name comparison,DUPLICATE / REDUNDANT,Secondary working copy; compare against live repository before use,CLAUDE_WORKING_FILES,7852920,226e82808bcc7fa9fab6dbb932c60083d12729bf147d85cb37796286c7628fca
Collection_Cover_v2b.png,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/Collection_Cover_v2b.png,png,Visual assets,Visual/production asset: Collection Cover v2b,2026-06-12T12:39:27-05:00,version-like filename,not determined,NO / NOT APPLICABLE,pending hash/name comparison,DUPLICATE / REDUNDANT,Secondary working copy; compare against live repository before use,CLAUDE_WORKING_FILES,6096294,f54ca642e2dbd53cdae25ffb0b3c5980aa244602428e37d2713289291609b4b1
angel-gardens-framed.png,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/Digital_Primer/Production_Assets/v47/assets/framed-poems/angel-gardens-framed.png,png,Visual assets,Visual/production asset: angel gardens framed,2026-07-23T17:48:59-05:00,not explicit,not determined,NO / NOT APPLICABLE,pending hash/name comparison,DUPLICATE / REDUNDANT,Secondary working copy; compare against live repository before use,CLAUDE_WORKING_FILES,407389,e865a9ea72ef74dd2cae0949edaa9b2b054ee0da945a047e31dd4503271624c7
ladybug-framed.png,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/Digital_Primer/Production_Assets/v47/assets/framed-poems/ladybug-framed.png,png,Visual assets,Visual/production asset: ladybug framed,2026-07-23T17:49:00-05:00,not explicit,not determined,NO / NOT APPLICABLE,pending hash/name comparison,DUPLICATE / REDUNDANT,Secondary working copy; compare against live repository before use,CLAUDE_WORKING_FILES,792216,fbaca063727835750158bec3deb1712b16ebe5cf34da3a8e0ed5c4955db0842a
poppy-her-mothers-hands-framed.png,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/Digital_Primer/Production_Assets/v47/assets/framed-poems/poppy-her-mothers-hands-framed.png,png,Visual assets,Visual/production asset: poppy her mothers hands framed,2026-07-23T17:48:59-05:00,not explicit,not determined,NO / NOT APPLICABLE,pending hash/name comparison,DUPLICATE / REDUNDANT,Secondary working copy; compare against live repository before use,CLAUDE_WORKING_FILES,652537,267beb263bca2f96d8c4a323ee904c225c0fe42d270686f7322331170790b6af
queen-anne-framed.png,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/Digital_Primer/Production_Assets/v47/assets/framed-poems/queen-anne-framed.png,png,Visual assets,Visual/production asset: queen anne framed,2026-07-23T17:48:59-05:00,not explicit,not determined,NO / NOT APPLICABLE,pending hash/name comparison,DUPLICATE / REDUNDANT,Secondary working copy; compare against live repository before use,CLAUDE_WORKING_FILES,522878,9f678edef1548d3af806ee06534725ba47931af1b9814e66802dbf2e38150970
angel-gardens-panel.png,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/Digital_Primer/Production_Assets/v47/assets/poem-panels-v2/angel-gardens-panel.png,png,Visual assets,Visual/production asset: angel gardens panel,2026-07-23T16:33:14-05:00,not explicit,not determined,NO / NOT APPLICABLE,pending hash/name comparison,DUPLICATE / REDUNDANT,Secondary working copy; compare against live repository before use,CLAUDE_WORKING_FILES,503247,6cf964db819abed5ed58cae57ef6755e3a150c3bac5ae885d70c427b02f04857
ladybug-panel.png,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/Digital_Primer/Production_Assets/v47/assets/poem-panels-v2/ladybug-panel.png,png,Visual assets,Visual/production asset: ladybug panel,2026-07-23T16:33:14-05:00,not explicit,not determined,NO / NOT APPLICABLE,pending hash/name comparison,DUPLICATE / REDUNDANT,Secondary working copy; compare against live repository before use,CLAUDE_WORKING_FILES,805288,69bf52c3f0f85c77f6227cfe9cad882176602011819ff114d4445c2ca111c9df
poppy-her-mothers-hands-panel.png,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/Digital_Primer/Production_Assets/v47/assets/poem-panels-v2/poppy-her-mothers-hands-panel.png,png,Visual assets,Visual/production asset: poppy her mothers hands panel,2026-07-23T16:33:13-05:00,not explicit,not determined,NO / NOT APPLICABLE,pending hash/name comparison,DUPLICATE / REDUNDANT,Secondary working copy; compare against live repository before use,CLAUDE_WORKING_FILES,731815,f46b2fcc404c712149b778180bee400a06dbf7edf0694e3a14948b89280bf58a
queen-anne-panel.png,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/Digital_Primer/Production_Assets/v47/assets/poem-panels-v2/queen-anne-panel.png,png,Visual assets,Visual/production asset: queen anne panel,2026-07-23T16:33:13-05:00,not explicit,not determined,NO / NOT APPLICABLE,pending hash/name comparison,DUPLICATE / REDUNDANT,Secondary working copy; compare against live repository before use,CLAUDE_WORKING_FILES,536570,80bf83bf221d53c742d82b2d93a45225bf49e40e3f7068e550da7d95a4873ab1
angel-gardens-stage.png,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/Digital_Primer/Production_Assets/v47/assets/poem-stages/angel-gardens-stage.png,png,Visual assets,Visual/production asset: angel gardens stage,2026-07-23T15:42:20-05:00,not explicit,not determined,NO / NOT APPLICABLE,pending hash/name comparison,DUPLICATE / REDUNDANT,Secondary working copy; compare against live repository before use,CLAUDE_WORKING_FILES,597780,7fbbc7292bd32af60b1cebe0e1e559e57627029a51e31476ec4c94f3731b265c
ladybug-stage.png,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/Digital_Primer/Production_Assets/v47/assets/poem-stages/ladybug-stage.png,png,Visual assets,Visual/production asset: ladybug stage,2026-07-23T15:42:20-05:00,not explicit,not determined,NO / NOT APPLICABLE,pending hash/name comparison,DUPLICATE / REDUNDANT,Secondary working copy; compare against live repository before use,CLAUDE_WORKING_FILES,864388,1f4471917465687fc3376486a8a22d0afbe30f483370cb7745f6290cc47f8c18
poppy-her-mothers-hands-stage.png,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/Digital_Primer/Production_Assets/v47/assets/poem-stages/poppy-her-mothers-hands-stage.png,png,Visual assets,Visual/production asset: poppy her mothers hands stage,2026-07-23T15:42:20-05:00,not explicit,not determined,NO / NOT APPLICABLE,pending hash/name comparison,DUPLICATE / REDUNDANT,Secondary working copy; compare against live repository before use,CLAUDE_WORKING_FILES,879926,2010d3d9e52d59419fc120c77c96d48de77a6bae38c2b51461b7c0468e745135
queen-anne-stage.png,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/Digital_Primer/Production_Assets/v47/assets/poem-stages/queen-anne-stage.png,png,Visual assets,Visual/production asset: queen anne stage,2026-07-23T15:42:20-05:00,not explicit,not determined,NO / NOT APPLICABLE,pending hash/name comparison,DUPLICATE / REDUNDANT,Secondary working copy; compare against live repository before use,CLAUDE_WORKING_FILES,543899,2a7e5b9e5f6f549fea67029d3ee32bd4427d32e9f7407cd434ac737864a34f8a
title-page-proof-v1.png,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/Digital_Primer/Production_Assets/v47/assets/title/title-page-proof-v1.png,png,Visual assets,Visual/production asset: title page proof v1,2026-07-23T15:46:51-05:00,version-like filename,not determined,NO / NOT APPLICABLE,pending hash/name comparison,DUPLICATE / REDUNDANT,Secondary working copy; compare against live repository before use,CLAUDE_WORKING_FILES,987744,827f97fac04a4ce53d047e0139b4b3deae59cb5b5febec6ea792d2d4fcb33adc
title-page-proof-v2.png,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/Digital_Primer/Production_Assets/v47/assets/title/title-page-proof-v2.png,png,Visual assets,Visual/production asset: title page proof v2,2026-07-23T16:24:31-05:00,version-like filename,not determined,NO / NOT APPLICABLE,pending hash/name comparison,DUPLICATE / REDUNDANT,Secondary working copy; compare against live repository before use,CLAUDE_WORKING_FILES,689577,4b7a42ab81df6e4de015eb6c8f00ec034ef1da97c8bf290096b2723edbca6bd6
title-visual-poems-aligned-field-v2.png,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/Digital_Primer/Production_Assets/v47/assets/title/title-visual-poems-aligned-field-v2.png,png,Visual assets,Visual/production asset: title visual poems aligned field v2,2026-07-23T16:24:31-05:00,version-like filename,not determined,NO / NOT APPLICABLE,pending hash/name comparison,DUPLICATE / REDUNDANT,Secondary working copy; compare against live repository before use,CLAUDE_WORKING_FILES,528708,1f4a12e8ad7a7d40b18f939146d4ef6c7dae10b76d7e5af71de6fec9e799a8f5
title-visual-poems-balanced-field-v3.png,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/Digital_Primer/Production_Assets/v47/assets/title/title-visual-poems-balanced-field-v3.png,png,Visual assets,Visual/production asset: title visual poems balanced field v3,2026-07-23T18:48:50-05:00,version-like filename,not determined,NO / NOT APPLICABLE,pending hash/name comparison,DUPLICATE / REDUNDANT,Secondary working copy; compare against live repository before use,CLAUDE_WORKING_FILES,473388,7d4353f54f7e99bf433498567c128bade2d915b961aca5296932957739ff4496
title-visual-poems-lower-field-v1.png,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/Digital_Primer/Production_Assets/v47/assets/title/title-visual-poems-lower-field-v1.png,png,Visual assets,Visual/production asset: title visual poems lower field v1,2026-07-23T15:42:21-05:00,version-like filename,not determined,NO / NOT APPLICABLE,pending hash/name comparison,DUPLICATE / REDUNDANT,Secondary working copy; compare against live repository before use,CLAUDE_WORKING_FILES,999604,0250eabe8966542d443c487649bbd959d7944ca8d665f0df5ddc0d1ed22ecb13
Fal_Rose_Review_01.png,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/Fal_Rose_Review_01.png,png,Visual assets,Visual/production asset: Fal Rose Review 01,2026-07-17T10:29:16-05:00,version-like filename,not determined,NO / NOT APPLICABLE,pending hash/name comparison,DUPLICATE / REDUNDANT,Secondary working copy; compare against live repository before use,CLAUDE_WORKING_FILES,2807146,341cf421057ea3a1ed847beccbd2aaf82b1b6a57950b3f6dfc0e9f0b0bfd1709
page3_approved_art.png,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/output/pdf/where_you_stand_language_ready/page3_approved_art.png,png,Visual assets,Visual/production asset: page3 approved art,2026-08-08T09:20:37-05:00,not explicit,not determined,NO / NOT APPLICABLE,pending hash/name comparison,DUPLICATE / REDUNDANT,Secondary working copy; compare against live repository before use,CLAUDE_WORKING_FILES,12948476,37e6cb959fdc61cd5838d5c7423d6fa72861d181e8a63a7b4894236ffbb152b0
Where_You_Stand_Back_Cover_Arch_v2_Landscape_LOCKED_REFERENCE.png,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/output/releases/Where_You_Stand_First_Edition_2026-08-08/cover/approved_references/Where_You_Stand_Back_Cover_Arch_v2_Landscape_LOCKED_REFERENCE.png,png,Visual assets,Visual/production asset: Where You Stand Back Cover Arch v2 Landscape LOCKED REFERENCE,2026-08-08T14:50:30-05:00,version-like filename,not determined,NO / NOT APPLICABLE,byte-identical group of 2; primary: /Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/output/releases/Where_You_Stand_First_Edition_2026-08-08/cover/artwork_proofs/Where_You_Stand_Back_Cover_Arch_v2_Landscape_PROOF.png,DUPLICATE / REDUNDANT,Byte-identical to /Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/output/releases/Where_You_Stand_First_Edition_2026-08-08/cover/artwork_proofs/Where_You_Stand_Back_Cover_Arch_v2_Landscape_PROOF.png,CLAUDE_WORKING_FILES,2618650,860233ba246dcc3c4f45789953ea0eb7757c440ceb133ebdd5c524b3ecadfa82
Where_You_Stand_Front_Ann_Balustrade_Text_Free_v1_LOCKED_REFERENCE.png,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/output/releases/Where_You_Stand_First_Edition_2026-08-08/cover/approved_references/Where_You_Stand_Front_Ann_Balustrade_Text_Free_v1_LOCKED_REFERENCE.png,png,Visual assets,Visual/production asset: Where You Stand Front Ann Balustrade Text Free v1 LOCKED REFERENCE,2026-08-08T14:43:36-05:00,version-like filename,not determined,NO / NOT APPLICABLE,byte-identical group of 2; primary: /Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/output/releases/Where_You_Stand_First_Edition_2026-08-08/cover/artwork_proofs/Where_You_Stand_Front_Ann_Balustrade_Text_Free_v1_PROOF.png,DUPLICATE / REDUNDANT,Byte-identical to /Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/output/releases/Where_You_Stand_First_Edition_2026-08-08/cover/artwork_proofs/Where_You_Stand_Front_Ann_Balustrade_Text_Free_v1_PROOF.png,CLAUDE_WORKING_FILES,3024605,060f9d3b2175a027917d2aa82413817dd8f40a943396e2a9a79f9aa81d6b280e
Where_You_Stand_Back_Arch_Exact_Panel_Fit_300PPI_REVIEW.png,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/output/releases/Where_You_Stand_First_Edition_2026-08-08/cover/artwork_proofs/Where_You_Stand_Back_Arch_Exact_Panel_Fit_300PPI_REVIEW.png,png,Visual assets,Visual/production asset: Where You Stand Back Arch Exact Panel Fit 300PPI REVIEW,2026-08-08T14:50:34-05:00,version-like filename,not determined,NO / NOT APPLICABLE,pending hash/name comparison,DUPLICATE / REDUNDANT,Secondary working copy; compare against live repository before use,CLAUDE_WORKING_FILES,9719645,3c5098a6194e66128ceb15b5b6ee794f42d477e27b5a5386d344c3cfae99f6a1
Where_You_Stand_Back_Cover_Arch_v1_PROOF.png,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/output/releases/Where_You_Stand_First_Edition_2026-08-08/cover/artwork_proofs/Where_You_Stand_Back_Cover_Arch_v1_PROOF.png,png,Visual assets,Visual/production asset: Where You Stand Back Cover Arch v1 PROOF,2026-08-08T14:28:17-05:00,version-like filename,not determined,NO / NOT APPLICABLE,pending hash/name comparison,DUPLICATE / REDUNDANT,Secondary working copy; compare against live repository before use,CLAUDE_WORKING_FILES,2683214,0aaa7053a8b0ea4b2ef3f8654b179e16fb79171bb8c2778a8607da37896c6dc7
